Document Number,Reference,Item_Code,PO_issue Date,Delivery Date,Description,Item Details,UoM(optional),Quantity,Price,Total,Payment Term
PO100563,250924-01,102246,09/29/2025,11/17/2025,"BLOCK, FILL PORT, COOLER POWER STATION, ACRYLIC",,Each,5.0,35.0000,175.00,NET 30
PO100563,250924-01,102247,09/29/2025,11/17/2025,"BAR, HEAT EXCHANGER MOUNTING, COOLER POWER STATION",,Each,5.0,36.0000,180.00,NET 30
PO100563,250924-01,102256,09/29/2025,11/17/2025,"PLATE, ADAPTER, WATER TANK, RF PS & AC-DC PCB",,Each,5.0,49.5000,247.50,NET 30
PO100563,250924-01,102257,09/29/2025,11/17/2025,"PLATE, ADAPTER, WATER TANK, DIODE PS",,Each,5.0,62.0000,310.00,NET 30
PO100563,250924-01,102258,09/29/2025,11/17/2025,"PLATE, ADAPTER, WATER TANK, CONTROLLER PCB",,Each,5.0,29.2500,146.25,NET 30
PO100563,250924-01,102259,09/29/2025,11/17/2025,"BRACKET, UV BALLAST, COOLER POWER STATION",,Each,5.0,20.5000,102.50,NET 30
PO100563,250924-01,102260,09/29/2025,11/17/2025,"BRACKET, ELECTRICAL SHIELD, AC-DC PCB SIDE",,Each,5.0,42.0000,210.00,NET 30
PO100563,250924-01,102261,09/29/2025,11/17/2025,"BRACKET, ELECTRICAL SHIELD, DIODE POWER SUPPLY SIDE",,Each,5.0,31.5000,157.50,NET 30
PO100563,250924-01,102262,09/29/2025,11/17/2025,"BRACKET, ELECTRICAL SHIELD, CONTROLLER PCB",,Each,5.0,31.2500,156.25,NET 30
PO100563,250924-01,102264,09/29/2025,11/17/2025,"COVER, WATER TANK, COOLER POWER STATION",,Each,5.0,55.5000,277.50,NET 30
PO100563,250924-01,102265,09/29/2025,11/17/2025,"BAR, FAN MOUNTING, COOLER POWER STATION",,Each,5.0,17.5000,87.50,NET 30
